date,bandNumber,type
2014-05-05,1891-11048,P
2014-05-06,2531-91116,P
2014-05-09,2561-86612,P
2014-05-17,1891-11070,P
2014-05-19,2561-86610,P
2014-05-23,2371-04311,P
2014-05-28,2441-14167,P
2014-05-28,2641-63901,P
2014-05-29,2531-91126,T
2014-05-31,2331-09148,T
2014-06-01,1891-11048,T
2014-06-08,2371-04311,P
2014-06-08,2561-86612,P
2014-06-13,2531-90243,P
2014-06-19,2371-04391,P
2014-06-19,2641-63670,T
2014-06-19,2651-17145,P
2014-06-19,2651-17147,P
2014-06-20,2561-86631,T
2014-06-22,1991-18070,P
2014-06-24,2561-86631,P
2014-06-25,1891-11072,P
2014-06-26,2561-44929,T
2014-06-27,2561-56828,T
2014-06-30,1991-18072,P
2014-06-30,2641-96686,P
2014-07-01,2421-34679,P
2014-07-01,2641-63909,T
2014-07-05,2331-09149,P
2014-07-07,1891-11048,P
2014-07-10,2651-17147,P
2014-07-17,2421-11486,T
2014-07-18,2651-17145,P
2014-07-19,1891-11072,P
2014-07-19,2531-90238,T
2014-07-20,2371-04391,P
2014-07-23,2651-17111,P
2014-07-25,2421-34693,T
2014-07-28,2651-17112,P
2014-08-07,2641-63666,P
2014-08-17,2641-63625,P
2014-08-26,2651-17146,P
2014-08-31,2331-09147,T
2014-09-15,2421-11490,P
2014-09-19,2651-17146,P
2014-10-24,2651-17146,P
2014-11-10,2561-86608,P
2014-11-10,2581-97920,P
2014-11-14,2651-17146,P
2014-12-07,2561-86608,P
2014-12-14,2641-63670,P
2015-01-25,2651-17146,P
2015-01-27,1891-11047,P
2015-01-31,2421-34662,P
2015-02-07,2561-86618,P
2015-02-10,2641-63783,P
2015-02-22,2531-74567,P
2015-02-23,2561-86618,P
2015-03-03,2561-86618,P
2015-03-06,2331-09151,P
2015-03-06,2561-86608,P
2015-03-08,2651-17146,P
2015-03-15,2531-74552,P
2015-03-15,2531-74554,P
2015-03-15,2561-56802,P
2015-03-15,2641-63774,P
2015-03-15,2641-63906,P
2015-03-17,2641-63782,P
2015-03-17,2641-63784,P
2015-03-20,1891-11072,P
2015-03-25,2561-86618,P
2015-03-30,2421-11942,T
2015-04-02,2561-86618,P
2015-04-08,2561-86618,P
2015-04-09,2571-70337,T
2015-04-10,2641-63882,P
2015-04-11,791-17257,T
2015-04-13,2441-14167,P
2015-04-16,2561-86610,P
2015-04-19,2651-17146,P
2015-04-21,2641-63930,T
2015-04-26,2571-89949,T
2015-04-30,1991-18040,T
2015-04-30,2331-09326,T
2015-04-30,2561-86608,P
2015-04-30,2641-63901,P
2015-05-05,2651-17147,P
2015-05-06,2641-85630,P
2015-05-06,2651-17112,P
2015-05-07,1891-11072,P
2015-05-07,2651-17111,P
2015-05-08,2651-17146,P
2015-05-14,2421-34662,T
2015-05-16,2641-85647,T
2015-05-24,2531-90243,P
2015-05-27,2441-14167,P
2015-05-28,2571-83113,P
2015-05-29,2641-63758,T
2015-06-01,2531-91185,T
2015-06-01,2641-63670,P
2015-06-04,2651-17112,P
2015-06-05,2571-83120,P
2015-06-05,2651-17147,P
2015-06-05,2651-43238,P
2015-06-07,2291-44294,T
2015-06-07,2371-04314,T
2015-06-08,2641-85630,P
2015-06-09,1891-11072,P
2015-06-10,2641-63901,P
2015-06-14,2641-85632,P
2015-06-16,2421-11983,T
2015-06-16,2651-43239,P
2015-06-18,2641-63959,T
2015-06-18,2651-43242,P
2015-06-20,2641-63882,T
2015-06-26,2421-34637,P
2015-06-26,2441-96471,T
2015-06-28,2651-43239,P
2015-06-30,2531-74562,T
2015-07-06,2531-74567,T
2015-07-08,2341-30161,T
2015-07-08,2571-70347,T
2015-07-08,791-17264,T
2015-07-09,2651-43224,P
2015-07-11,2441-96351,T
2015-07-11,2571-70361,T
2015-07-11,2641-63926,T
2015-07-15,2531-90268,T
2015-07-15,2531-90270,T
2015-07-16,2641-63794,T
2015-07-23,2571-70337,T
2015-07-24,2651-43238,P
2015-07-29,2661-31540,T
2015-08-13,2561-56833,P
2015-08-14,2571-83120,P
2015-08-21,1891-11072,P
2015-09-01,2531-74543,P
2015-09-15,2421-11394,P
2015-09-15,2641-63901,P
2015-10-06,2641-96752,P
2015-10-09,2421-11371,P
2015-10-21,1891-11047,P
2015-10-26,2331-09151,P
2015-10-26,2641-96750,P
2015-11-01,2651-17146,P
2015-11-20,2331-09151,P
2015-12-04,2651-17146,P
2015-12-05,2641-96681,P
2015-12-18,2641-96682,P
2015-12-19,2331-09151,P
2015-12-19,2641-96685,P
2015-12-21,2641-96754,P
2015-12-25,2641-96753,P
2015-12-29,1991-18075,P
2015-12-29,2641-96748,P
2016-01-05,2331-09151,P
2016-01-08,2641-96681,P
2016-01-08,2641-96685,P
2016-01-16,2641-63901,P
2016-01-16,2641-96750,P
2016-01-18,2641-96754,P
2016-01-20,2641-96747,P
2016-01-20,2641-96748,P
2016-01-22,2561-86618,P
2016-01-23,2641-96752,P
2016-01-29,2421-11393,P
2016-01-31,2561-86608,P
2016-02-05,2641-96685,P
2016-02-09,2421-11369,P
2016-02-09,2641-96681,P
2016-02-10,2641-63776,P
2016-02-10,2641-96749,P
2016-02-12,1991-18072,P
2016-02-12,2651-17077,P
2016-02-15,2641-96748,P
2016-02-24,2331-09151,P
2016-02-24,2641-96686,P
2016-02-24,2641-96750,P
2016-02-24,2641-96754,P
2016-02-26,2641-96747,P
2016-02-29,1891-11072,P
2016-03-04,2421-11372,P
2016-03-06,2641-96756,P
2016-03-07,2641-96755,P
2016-03-10,2561-86637,P
2016-03-17,2641-63964,P
2016-03-17,2651-43274,P
2016-03-18,2331-09151,P
2016-03-18,2651-43224,P
2016-03-21,2641-96750,P
2016-03-23,2331-09163,T
2016-03-24,1991-18072,P
2016-03-24,2641-96734,P
2016-03-28,2641-96747,P
2016-03-28,2641-96748,P
2016-03-28,2641-96754,P
2016-03-30,2641-96747,P
2016-04-01,2641-96632,T
2016-04-01,2641-96633,T
2016-04-04,2421-11371,P
2016-04-06,2331-09151,T
2016-04-06,2641-96749,P
2016-04-06,2641-96749,T
