siteID,date,time,enc,spp,bandNumber,colorCombo,mass,wing,tl,age,sex
springfield_16,2015-05-21,0001,B,SOSP,2571-83116,"X,OK",21.96,66,68,AHY,M
springfield_16,2015-05-21,0001,B,SOSP,2571-83117,"XG,P",21.88,62,66,AHY,F
dc_21,2015-05-22,0001,B,SOSP,2571-89993,"XR,R",21.2,66,99999,AHY,M
dc_21,2015-05-22,0001,R,GRCA,2641-63916,"O,XR",37.9,99999,99999,AHY,M
dc_21,2015-05-22,0001,R,NOCA,2421-11945,"G,KX",47.3,99999,99999,AHY,M
springfield_10,2015-05-22,0001,B,GRCA,2651-43230,"X,OR",41.86,89,97,ASY,F
dc_77,2015-05-23,0001,B,GRCA,2651-47606,"BX,KG",36.8,81.5,99999,SY,F
springfield_21,2015-05-24,0001,B,GRCA,2651-17059,"KX,P",38.28,93,92,AHY,M
springfield_21,2015-05-24,0001,B,NOCA,2651-17058,"O,YX",47.44,93,95,AHY,M
dc_20,2015-05-27,0001,B,GRCA,2651-47608,"BX,KP",40.5,88,99999,SY,F
dc_20,2015-05-27,0001,B,NOCA,2651-47609,"B,XK",43.3,90,99999,AHY,M
dc_20,2015-05-27,0001,B,GRCA,2651-47610,"MX,Y",33.7,90,99999,ASY,M
springfield_2,2015-05-28,0001,B,GRCA,2651-43238,"X,PY",37.64,85,93,AHY,M
springfield_2,2015-05-28,0001,B,GRCA,2651-43239,"XO,R",46.33,89,96,SY,F
springfield_2,2015-05-28,0001,B,GRCA,2651-43242,"XP,R",37.3,86,90,AHY,M
springfield_2,2015-05-28,0001,R,NOCA,2651-17146,"MX,W",47.43,95,100,AHY,M
springfield_2,2015-05-28,0001,B,SOSP,2571-83119,"X,PW",18.15,58,63,AHY,F
springfield_2,2015-05-28,0001,B,SOSP,2571-83120,"GP,X",21.44,65,62,AHY,M
dc_45,2015-05-29,0001,B,NOCA,2421-11354,"OR,X",44.6,95,99999,AHY,M
springfield_13,2015-05-29,0001,B,GRCA,2651-43244,"X,KG",34.83,88,94,AHY,M
springfield_13,2015-05-29,0001,B,GRCA,2651-43243,"Y,XM",35.69,91,96,AHY,M
springfield_13,2015-05-29,0001,B,NOCA,2651-43245,"B,XW",44.81,95,105,AHY,M
dc_57,2015-05-30,0001,B,NOCA,2421-11355,"PB,X",46,92,99999,AHY,F
dc_57,2015-05-30,0001,B,GRCA,2421-11356,"X,YG",34.7,90,99999,AHY,M
dc_18,2015-05-31,0001,B,NOCA,2531-74584,"W,XM",40.7,90,99999,AHY,F
dc_18,2015-05-31,0001,B,NOCA,2531-74587,"XY,W",99999,90,99999,AHY,M
dc_18,2015-05-31,0001,B,NOCA,2531-74586,"BG,X",37.6,93,99999,AHY,F
dc_8,2015-06-01,0815,B,SOSP,2661-31551,"X,MG",20.2,61,60,AHY,F
dc_8,2015-06-01,0859,B,NOCA,2531-74585,"X,KB",42,93,99,AHY,M
dc_8,2015-06-01,0909,B,NOCA,2531-74588,"R,XO",40.2,87,96.5,AHY,F
dc_8,2015-06-01,0922,B,GRCA,2531-74589,"G,XO",32.9,84,89,AHY,M
dc_8,2015-06-01,1026,R,NOCA,2641-63314,"XG,Y",39.7,95,100,AHY,M
dc_8,2015-06-01,1045,B,NOCA,2531-74590,"MB,X",38.6,93.5,102,AHY,M
dc_8,2015-06-01,1100,B,SOSP,2661-31552,"OX,B",22.6,66,70,AHY,M
dc_8,2015-06-01,1135,B,NOCA,2531-74591,"MY,X",40.3,95,106,AHY,M
gainesville_13,2015-06-01,0001,B,NOCA,2641-96632,"BW,X",33.9,92,102,AHY,M
gainesville_13,2015-06-01,0001,B,NOCA,2641-96633,"K,XK",42.9,97,107,AHY,M
gainesville_13,2015-06-01,0001,B,NOCA,2641-96634,"M,XY",44.2,88,101,AHY,F
dc_21,2015-06-02,0001,B,GRCA,2641-96865,"OX,B",36.1,90,99999,AHY,M
dc_43,2015-06-02,0001,B,NOCA,2651-47623,"B,KX",44.4,95,99999,AHY,M
dc_43,2015-06-02,0001,B,NOCA,2651-47623,"B,KX",44.4,95,99999,AHY,M
gainesville_7,2015-06-02,0001,R,NOCA,2331-09172,"K,XW",37.7,89,96,AHY,M
gainesville_7,2015-06-02,0001,B,NOCA,2541-40443,"XM,K",42,90,101,AHY,M
springfield_7,2015-06-05,0001,B,GRCA,2651-17078,"PX,G",38.22,92,83,AHY,F
springfield_7,2015-06-05,0001,B,NOCA,2651-17077,"X,RW",48.75,96,99,AHY,M
springfield_7,2015-06-05,0001,B,SOSP,2291-44241,"M,XW",21.1,66,65,AHY,M
dc_12,2015-06-06,0001,B,NOCA,2531-74593,"OX,O",40.8,95,99999,AHY,M
springfield_5,2015-06-06,0001,B,GRCA,2651-43249,"X,RK",39.07,89,98,AHY,M
springfield_5,2015-06-06,0001,B,GRCA,2651-43248,"X,MW",37.88,85,92,SY,F
springfield_5,2015-06-06,0001,B,GRCA,2651-43247,"X,GO",39.12,75,89,AHY,F
springfield_5,2015-06-06,0001,B,GRCA,2651-43250,"MX,B",36.19,88,95,AHY,M
springfield_5,2015-06-06,0001,B,NOCA,2651-43251,"Y,XY",42.13,90,100,AHY,M
dc_73,2015-06-07,0001,B,SOSP,2661-31554,"X,GK",21.1,68,99999,ASY,M
dc_73,2015-06-07,0001,B,GRCA,2531-74594,"KO,X",33.4,91,99999,ASY,M
dc_73,2015-06-07,0001,B,GRCA,2531-74595,"R,MX",34.9,86,99999,SY,M
dc_49,2015-06-08,0001,B,SOSP,2711-77602,"X,GP",21.3,69,99999,ASY,M
dc_49,2015-06-08,0001,B,GRCA,2651-56705,"XG,B",38.8,88,99999,SY,M
dc_65,2015-06-08,0001,B,NOCA,2531-74596,"X,WK",45.2,94,99999,ASY,M
springfield_9,2015-06-08,0001,B,SOSP,2571-83125,"XB,W",21.65,63,62,AHY,F
springfield_9,2015-06-08,0001,B,SOSP,2571-83127,"XO,P",22.53,65,66,AHY,M
springfield_9,2015-06-08,0001,B,SOSP,2571-83126,"P,YX",20.29,63,59,AHY,M
springfield_9,2015-06-08,0001,B,SOSP,2571-83124,"PG,X",20.93,66,70,AHY,M
springfield_9,2015-06-08,0001,R,SOSP,2691-06128,"W,XO",21.45,66,67,AHY,M
dc_24,2015-06-10,0001,B,SOSP,2661-31560,"X,KM",20.4,61,99999,AHY,F
dc_77,2015-06-10,0001,B,NOCA,2651-47516,"XY,P",47,94,99999,AHY,M
dc_77,2015-06-10,0001,B,SOSP,2571-90082,"B,OX",23.5,66.25,99999,ASY,M
dc_39,2015-06-11,0922,B,GRCA,2531-74597,"K,YX",37.3,93,98,ASY,M
dc_43,2015-06-12,0001,B,GRCA,2531-74598,"XR,B",32.8,83.5,99999,SY,M
dc_43,2015-06-12,0001,B,GRCA,2531-74599,"X,MW",42.2,89,99999,ASY,F
dc_43,2015-06-12,0001,B,GRCA,2531-74600,"XW,O",34.7,90,99999,ASY,M
dc_43,2015-06-12,0001,B,GRCA,2531-74598,"XR,B",32.8,83.5,99999,SY,M
dc_43,2015-06-12,0001,B,GRCA,2531-74599,"X,MW",42.2,89,99999,ASY,F
dc_43,2015-06-12,0001,B,GRCA,2531-74600,"XW,O",34.7,90,99999,ASY,M
dc_5,2015-06-12,0001,B,GRCA,2421-11361,"P,XO",31.6,94,99999,AHY,M
dc_5,2015-06-12,0001,B,GRCA,2421-11362,"Y,GX",36,85,99999,ASY,F
dc_46,2015-06-16,0001,B,GRCA,2651-47520,"R,GX",36.1,87,99999,ASY,M
dc_46,2015-06-16,0001,B,SOSP,2661-31565,"O,XG",21.4,66,99999,AHY,M
dc_46,2015-06-16,0001,B,GRCA,2651-47521,"XK,O",36.4,91.5,99999,ASY,M
dc_55,2015-06-16,0001,B,GRCA,2421-11364,"X,PY",43.4,90,99999,AHY,M
dc_55,2015-06-16,0001,B,NOCA,2421-11366,"X,PP",49.2,96,99999,AHY,M
dc_55,2015-06-16,0001,B,SOSP,2661-31873,"X,WO",21.9,61,99999,AHY,F
dc_55,2015-06-16,0001,R,GRCA,2561-44929,"K,XK",28,99999,99999,AHY,M
dc_72,2015-06-17,0001,B,NOCA,2421-11369,"X,PW",39.8,95,99999,AHY,M
dc_72,2015-06-17,0001,B,NOCA,2421-11370,"X,GM",49.2,98,99999,AHY,F
dc_72,2015-06-17,0001,B,NOCA,2421-11371,"X,PB",43.8,92,99999,AHY,M
dc_72,2015-06-17,0001,B,NOCA,2421-11372,"X,BY",43.7,93,99999,AHY,F
dc_3,2015-06-18,0001,B,NOCA,2651-56712,"R,RX",43.3,90,99999,AHY,F
dc_3,2015-06-18,0001,B,NOCA,2651-56713,"RY,X",41,88,99999,AHY,F
dc_3,2015-06-18,0001,B,NOCA,2651-56714,"RK,X",41.6,94,99999,SY,M
dc_3,2015-06-18,0001,B,NOCA,2651-56715,"W,KX",46.5,90,99999,AHY,F
dc_3,2015-06-18,0001,B,NOCA,2651-56716,"R,XB",49.5,96,99999,AHY,M
dc_3,2015-06-18,0001,B,NOCA,2651-56717,"PX,W",40.7,91,99999,AHY,F
dc_3,2015-06-18,0001,B,NOCA,2651-56718,"W,XP",44.5,93,99999,ASY,M
dc_35,2015-06-18,0001,B,NOCA,2641-96852,"Y,XO",50.1,96,99999,AHY,M
dc_35,2015-06-18,0001,R,NOCA,2641-63637,"G,XK",43.7,99999,99999,AHY,F
dc_4,2015-06-18,0001,B,NOCA,2651-47522,"PY,X",44.1,94,99999,ASY,M
dc_4,2015-06-18,0001,B,NOCA,2651-47523,"X,BR",46.3,92,99999,ASY,F
dc_4,2015-06-18,0001,B,NOCA,2651-47524,"WX,M",45,93,99999,ASY,M
dc_13,2015-06-19,0001,B,NOCA,2421-11377,"X,PP",41.6,94,99999,AHY,F
dc_22,2015-06-19,0001,B,GRCA,2651-56720,"R,XY",38.2,88,99999,ASY,M
dc_22,2015-06-19,0001,B,GRCA,2651-56721,"X,WG",29.4,84,99999,SY,M
dc_22,2015-06-19,0001,B,GRCA,2651-56722,"PP,X",32.5,93,99999,SY,M
dc_22,2015-06-19,0001,B,GRCA,2651-56723,"YW,XW",36.8,90,99999,AHY,M
dc_22,2015-06-19,0001,B,GRCA,2651-56724,"YX,B",32.7,89,99999,AHY,M
dc_22,2015-06-19,0001,B,GRCA,2651-56725,"GX,P",36.4,90,99999,AHY,M
gainesville_6,2015-06-19,0001,B,NOCA,2641-96654,"XW,R",38.4,85,92,AHY,F
dc_27,2015-06-20,0001,B,NOCA,2651-56726,"PX,W",54.8,95,99999,AHY,M
dc_27,2015-06-20,0001,B,GRCA,2651-56727,"WX,W",36.6,87,99999,AHY,M
dc_38,2015-06-20,0001,B,GRCA,2651-47526,"XK,M",41.4,87,99999,ASY,F
dc_38,2015-06-20,0001,R,SOSP,2441-13876,"BW,X",20.2,99999,99999,AHY,M
dc_59,2015-06-20,0001,B,NOCA,2421-11378,"X,GY",43.6,97,99999,AHY,M
dc_59,2015-06-20,0001,B,NOCA,2421-11379,"X,OW",43.2,99,99999,AHY,M
dc_59,2015-06-20,0001,B,NOCA,2421-11380,"X,OM",47.1,92,99999,AHY,F
dc_70,2015-06-21,0001,B,NOCA,2651-47534,"YB,X",40.4,92,99999,AHY,M
dc_70,2015-06-21,0001,B,GRCA,2651-47535,"G,WX",33.8,91,99999,AHY,M
dc_70,2015-06-21,0001,B,GRCA,2651-47536,"R,BX",35.9,88,99999,AHY,M
dc_70,2015-06-21,0001,B,GRCA,2651-47537,"XG,B",42.4,89,99999,SY,F
dc_70,2015-06-21,0001,B,NOCA,2651-47538,"XP,O",44.9,87,99999,AHY,F
dc_70,2015-06-21,0001,B,SOSP,2571-90083,"M,XG",20.5,64,99999,ASY,M
dc_70,2015-06-21,0001,B,SOSP,2571-90084,"XO,O",19.6,63,99999,SY,M
dc_70,2015-06-21,0001,R,GRCA,2641-63871,"RX,P",35.4,99999,99999,AHY,M
gainesville_17,2015-06-21,0001,B,NOCA,2641-96770,"XO,K",40.7,90,98,AHY,M
gainesville_17,2015-06-21,0001,B,NOCA,2641-96771,"GO,X",34.8,84,92,AHY,F
gainesville_17,2015-06-21,0001,B,NOCA,2641-96772,"Y,XW",36.5,88,99,AHY,F
gainesville_17,2015-06-21,0001,B,NOCA,2641-96773,"W,XK",30,87.5,91,AHY,F
dc_52,2015-06-22,0001,B,NOCA,2651-47527,"XY,W",45.2,93,99999,ASY,F
dc_58,2015-06-22,0001,B,NOCA,2421-11381,"X,OO",42,93,99999,AHY,F
dc_58,2015-06-22,0001,B,NOCA,2421-11382,"X,KY",47.3,95,99999,AHY,F
gainesville_12,2015-06-22,0001,B,NOCA,2641-96659,"-,X",36.7,89,91,AHY,M
gainesville_12,2015-06-22,0001,B,NOCA,2641-96660,"MY,X",40.3,88,92,AHY,F
gainesville_12,2015-06-22,0001,B,NOCA,2641-96663,"XY,O",36.2,83,89,AHY,F
dc_76,2015-06-23,0001,B,SOSP,2711-77607,"WX,P",21.3,68,99999,SY,M
dc_76,2015-06-23,0001,B,GRCA,2651-56729,"X,PP",32.4,86,99999,SY,M
dc_76,2015-06-23,0001,R,NOCA,2641-63696,"PW,X",42.8,99999,99999,AHY,F
dc_16,2015-06-24,0001,B,SOSP,2661-31575,"O,OX",18.9,65,99999,AHY,M
dc_16,2015-06-24,0001,B,SOSP,2661-31576,"XW,G",19.4,62,99999,AHY,F
dc_28,2015-06-25,0001,B,NOCA,2651-56733,"RY,X",44.3,94,99999,AHY,M
dc_28,2015-06-25,0001,B,GRCA,2651-56734,"P,XB",33.3,86,99999,AHY,M
dc_28,2015-06-25,0001,B,GRCA,2651-56735,"GR,X",34.3,88,99999,AHY,F
springfield_8,2015-06-25,0001,B,GRCA,2651-43273,"XP,B",35.7,86,90,AHY,M
springfield_8,2015-06-25,0001,B,GRCA,2651-43275,"XW,P",34.36,84,86,AHY,F
springfield_8,2015-06-25,0001,B,NOCA,2651-43274,"XB,B",41.06,93,100,AHY,M
dc_19,2015-06-26,0001,B,SOSP,2711-77612,"XY,P",18.9,62,99999,AHY,F
dc_19,2015-06-26,0001,B,SOSP,2711-77613,"X,PR",19.5,65,99999,AHY,M
dc_19,2015-06-26,0001,B,GRCA,2651-56736,"X,WP",35.9,90,99999,ASY,M
dc_23,2015-06-26,0001,B,GRCA,2421-11387,"YY,X",37.5,90,99999,AHY,M
springfield_20,2015-06-27,0001,B,GRCA,2651-43277,"YX,O",35.85,89,97,AHY,M
dc_25,2015-06-30,0001,B,SOSP,2571-90085,"R,XP",20.1,69.5,99999,AHY,M
dc_25,2015-06-30,0001,B,SOSP,2571-90086,"G,XM",21.3,66,99999,AHY,M
dc_25,2015-06-30,0001,B,GRCA,2651-47545,"MP,X",39,86,99999,AHY,F
dc_80,2015-06-30,0001,B,GRCA,2531-74530,"O,BX",33.2,88,99999,ASY,F
dc_80,2015-06-30,0001,B,GRCA,2531-74531,"M,RX",33.6,89.5,99999,ASY,M
gainesville_9,2015-07-01,0001,B,NOCA,2641-96778,"-,X",43,89,98,AHY,F
springfield_26,2015-07-02,0001,B,GRCA,2651-43281,"X,WP",36.85,85,90,SY,F
springfield_26,2015-07-02,0001,B,NOCA,2651-43282,"X,GG",43.23,92,95,AHY,M
dc_30,2015-07-03,0001,B,GRCA,2651-56742,"Y,XR",33.1,89,99999,ASY,F
dc_30,2015-07-03,0001,B,GRCA,2651-56743,"X,PY",36.3,83,99999,SY,F
dc_30,2015-07-03,0001,B,GRCA,2651-56744,"XO,G",34.7,86,99999,SY,M
dc_30,2015-07-03,0001,R,NOCA,2641-63981,"PX,Y",47.7,99999,99999,SY,F
dc_9,2015-07-03,0001,B,GRCA,2421-11390,"PX,P",33.9,90,99999,AHY,M
dc_9,2015-07-03,0001,B,NOCA,2421-11392,"O,BX",43.7,95,99999,AHY,F
dc_11,2015-07-06,0001,B,GRCA,2651-56746,"PB,X",40.1,90,99999,SY,F
dc_11,2015-07-06,0001,B,GRCA,2651-56749,"RO,X",35.9,87,99999,SY,M
dc_11,2015-07-06,0001,B,GRCA,2651-56750,"OX,P",37,86,99999,ASY,F
dc_48,2015-07-06,0001,B,GRCA,2651-47651,"X,PP",33.1,89.5,99999,ASY,M
dc_48,2015-07-06,0001,B,GRCA,2651-47652,"Y,X",33.9,88,99999,ASY,M
dc_48,2015-07-06,0001,R,SOSP,2571-89937,"X,RG",21.9,99999,99999,AHY,M
dc_7,2015-07-06,0001,B,NOCA,2421-11393,"Y,XM",45.6,99,99999,AHY,M
dc_7,2015-07-06,0001,B,SOSP,2661-31882,"OX,R",20.5,65,99999,AHY,M
springfield_11,2015-07-07,0001,B,GRCA,2651-43283,"OP,X",39.31,86,89,SY,F
springfield_11,2015-07-07,0001,B,SOSP,2571-83137,"XR,Y",21.03,64,70,AHY,M
springfield_22,2015-07-07,0001,B,GRCA,2651-43310,"XR,M",37.17,93,99,AHY,M
springfield_22,2015-07-07,0001,B,GRCA,2651-43306,"M,OX",35.74,88,86,SY,M
springfield_22,2015-07-07,0001,B,GRCA,2651-43311,"PX,Y",46.75,87,95,AHY,F
springfield_22,2015-07-07,0001,B,SOSP,2291-44253,"XK,O",22.25,65,65,AHY,M
springfield_22,2015-07-07,0001,B,SOSP,2291-44252,"RX,G",99999,65,64,AHY,M
dc_26,2015-07-08,0001,B,NOCA,2651-56751,"X,PM",41.9,88,99999,AHY,F
dc_26,2015-07-08,0001,B,NOCA,2651-56752,"X,GO",40.6,88,99999,AHY,F
dc_36,2015-07-08,0001,B,GRCA,2531-74543,"K,XR",31.9,92,99999,ASY,M
dc_36,2015-07-08,0001,B,GRCA,2531-74544,"YP,X",31.9,89,99999,ASY,M
dc_36,2015-07-08,0001,B,SOSP,2661-31590,"RG,X",17.6,64,99999,AHY,F
dc_36,2015-07-08,0001,B,GRCA,2531-74545,"R,XO",34.9,84.5,99999,SY,F
dc_51,2015-07-08,0001,B,GRCA,2641-96841,"G,XY",29.4,91,99999,AHY,M
dc_75,2015-07-08,0001,B,GRCA,2421-11394,"PB,X",35,85,99999,AHY,F
dc_75,2015-07-08,0001,B,NOCA,2421-11396,"X,YY",46.3,95,99999,AHY,F
dc_75,2015-07-08,0001,B,SOSP,2661-31885,"X,WW",22.2,65,99999,AHY,F
dc_79,2015-07-10,0001,B,SOSP,2661-31593,"Y,XP",17.8,61,99999,ASY,F
dc_79,2015-07-10,0001,B,SOSP,2661-31594,"G,OX",23,66,99999,ASY,M
springfield_12,2015-07-10,0001,B,GRCA,2651-43321,"OX,P",38.81,89,99,AHY,F
springfield_12,2015-07-10,0001,B,GRCA,2651-43317,"R,PX",39.6,93,105,AHY,M
springfield_12,2015-07-10,0001,B,GRCA,2651-43318,"R,XP",35.33,86,95,AHY,M
springfield_12,2015-07-10,0001,B,NOCA,2651-43319,"XB,K",44.91,95,94,AHY,M
springfield_12,2015-07-10,0001,B,NOCA,2651-43325,"GW,X",52.93,91,91,AHY,F
springfield_12,2015-07-10,0001,R,SOSP,2371-04383,"X,KG",20.11,68,66,AHY,M
springfield_12,2015-07-10,0001,R,SOSP,2371-04380,"B,BX",21.04,65,67,AHY,M
springfield_12,2015-07-10,0001,B,SOSP,2291-44256,"MO,X",21.95,64,66,AHY,M
springfield_12,2015-07-10,0001,B,SOSP,2291-44255,"Y,BX",20.86,66,65,AHY,F
gainesville_18,2015-07-11,0001,B,NOCA,2641-96681,"XY,O",36.6,84,87,AHY,F
gainesville_18,2015-07-11,0001,B,NOCA,2641-96682,"BX,O",38.8,86,90,AHY,F
gainesville_18,2015-07-11,0001,B,NOCA,2641-96685,"W,XO",41.7,89,99,AHY,F
gainesville_18,2015-07-11,0001,B,NOCA,2641-96686,"M,WX",40.1,84,89,AHY,F
dc_29,2015-07-13,0001,B,GRCA,2651-56753,"OX,KY",34.3,86,99999,SY,M
dc_29,2015-07-13,0001,B,NOCA,2651-56755,"X,BW",43.7,94,99999,AHY,M
dc_29,2015-07-13,0001,B,SOSP,2711-77618,"PX,R",21.1,68,99999,AHY,M
dc_29,2015-07-13,0001,B,GRCA,2651-56756,"X,PK",37.9,91,99999,ASY,M
dc_29,2015-07-13,0001,B,GRCA,2651-56757,"G,XO",36.9,88,99999,SY,M
dc_29,2015-07-13,0001,B,GRCA,2651-56758,"MX,R",34.9,88,99999,SY,M
dc_29,2015-07-13,0001,B,GRCA,2651-56759,"BX,WO",34.6,84,99999,SY,F
dc_29,2015-07-13,0001,B,SOSP,2711-77620,"K,PX",22.2,68,99999,AHY,M
dc_29,2015-07-13,0001,B,NOCA,2651-56760,"X,BR",99999,89,99999,SY,F
dc_68,2015-07-13,0001,B,GRCA,2421-11398,"GX,YO",38.6,85,99999,AHY,F
dc_63,2015-07-14,0001,B,GRCA,2651-56762,"PB,X",30.6,85,99999,SY,M
dc_47,2015-07-15,0001,B,GRCA,2651-56764,"WK,X",31.8,87,99999,ASY,M
dc_47,2015-07-15,0001,B,SOSP,2711-77623,"BX,M",99999,68,99999,AHY,M
dc_47,2015-07-15,0001,B,GRCA,2651-56765,"W,XM",34.3,90,99999,ASY,F
dc_47,2015-07-15,0001,B,GRCA,2651-56766,"KX,Y",32.6,90,99999,ASY,M
dc_47,2015-07-15,0001,B,SOSP,2711-77626,"WM,X",18.3,65,99999,AHY,M
dc_47,2015-07-15,0001,B,SOSP,2711-77627,"K,WX",19.2,62,99999,SY,M
dc_47,2015-07-15,0001,B,SOSP,2711-77630,"GY,X",19.8,63,99999,AHY,F
dc_6,2015-07-15,0001,B,GRCA,2651-52499,"G,XP",47.4,94,99999,AHY,F
dc_6,2015-07-15,0001,B,GRCA,2651-52497,"B,XO",38.1,90,99999,AHY,F
dc_6,2015-07-15,0001,R,SOSP,2571-70362,"X,PG",20.8,99999,99999,AHY,M
dc_60,2015-07-15,0001,B,GRCA,2651-51542,"X,GM",35.5,88.5,99999,ASY,M
dc_60,2015-07-15,0001,B,SOSP,2711-77702,"X,GG",21.4,66.5,99999,AHY,M
gainesville_1,2015-07-16,0001,B,NOCA,2651-56203,"XY,R",41.5,92,101,AHY,M
dc_42,2015-07-17,0001,B,NOCA,2651-51544,"RX,W",43.4,90,99999,ASY,F
dc_42,2015-07-17,0001,B,GRCA,2651-51545,"XR,W",33.9,85.5,99999,SY,M
dc_42,2015-07-17,0001,B,SOSP,2711-77709,"MX,R",19.6,62,99999,AHY,F
dc_42,2015-07-17,0001,B,GRCA,2651-51547,"R,GX",37.7,90.5,99999,AHY,M
dc_42,2015-07-17,0001,B,GRCA,2651-51548,"MX,W",32.6,84,99999,SY,M
dc_42,2015-07-17,0001,B,NOCA,2651-51549,"X,BO",37.7,93,99999,ASY,M
dc_42,2015-07-17,0001,B,SOSP,2711-77711,"WK,X",22.9,66,99999,AHY,M
dc_67,2015-07-17,0001,B,NOCA,2651-56768,"X,BP",44.5,90,99999,AHY,M
springfield_27,2015-07-17,0001,B,SOSP,2291-44259,"R,XW",22.02,65,67,AHY,M
dc_64,2015-07-18,0001,B,GRCA,2651-51551,"P,XG",32.7,91,99999,ASY,M
dc_64,2015-07-18,0001,B,GRCA,2651-51552,"M,XR",30.4,88.5,99999,ASY,M
dc_64,2015-07-18,0001,R,GRCA,2531-90242,"W,XG",36.3,99999,99999,AHY,F
dc_53,2015-07-20,0001,B,NOCA,2651-52495,"R,RX",36.2,95,99999,AHY,F
dc_17,2015-07-21,0001,B,SOSP,2711-77636,"YO,X",22.3,70,99999,AHY,M
dc_17,2015-07-21,0001,R,GRCA,791-17275,"XK,R",34.8,99999,99999,AHY,M
dc_78,2015-07-22,0001,B,NOCA,2651-56770,"R,XO",41.6,88,99999,SY,F
dc_78,2015-07-22,0001,B,GRCA,2651-56771,"RX,O",35.3,84,99999,SY,M
dc_14,2015-07-25,0001,B,NOCA,2651-52492,"X,YM",69.8,87,99999,AHY,M
dc_14,2015-07-25,0001,B,NOCA,2651-52491,"O,XG",43.2,92,99999,AHY,F
springfield_24,2015-07-26,0001,B,NOCA,2651-43346,"BB,X",45.05,91.5,100,AHY,F
dc_14,2015-07-27,0001,B,SOSP,2571-89968,"B,XP",19.1,65,99999,AHY,M
dc_40,2015-07-27,0001,B,SOSP,2711-77640,"PR,X",19.3,63,99999,AHY,M
dc_40,2015-07-27,0001,B,GRCA,2651-56775,"RO,X",36.5,90,99999,ASY,M
dc_69,2015-07-29,0001,B,GRCA,2651-56776,"PR,X",36,78,99999,SY,F
dc_69,2015-07-29,0001,B,GRCA,2651-56777,"X,PK",37.2,90,99999,ASY,M
springfield_18,2015-07-30,0001,R,SOSP,2371-04398,"X,YG",19.16,60,63,AHY,F
springfield_18,2015-07-30,0001,B,SOSP,2291-44266,"X,YY",20.1,69,68.5,AHY,M
springfield_18,2015-07-30,0001,B,SOSP,2291-44270,"X,WW",21.75,66,64,AHY,M
springfield_18,2015-07-30,0001,B,SOSP,2291-44269,"X,RB",21.32,61.5,65,AHY,F
dc_80,2016-04-14,1220,R,SOSP,2441-96541,"W,MX",21.1,65,64,ASY,M
dc_39,2016-04-15,0917,R,NOCA,2641-63758,"X,GB",44.5,91,91,ASY,F
dc_21,2016-05-05,1015,R,GRCA,2641-96865,"OX,B",99999,89,93,ASY,M
dc_31,2016-05-16,0751,R,NOCA,2421-34683,"M,XG",45.7,92,96,ASY,F
springfield_12,2016-06-03,1010,R,SOSP,2371-04383,"X,KG",20.8,68,68,ASY,M
dc_14,2016-06-04,1010,R,SOSP,2571-89968,"B,XP",18.7,64,66,ASY,M
springfield_5,2016-06-10,1020,R,NOCA,2531-91185,"O,XM",44.7,91,102,AHY,F
springfield_22,2016-06-14,0815,R,GRCA,2651-17161,"XR,W",35.6,88,93,ASY,F
springfield_25,2016-06-15,0820,R,NOCA,2651-43223,"XR,O",45.7,95,104,ASY,M
dc_77,2016-06-20,0805,R,GRCA,2651-47502,"XK,G",36,91,96,ASY,M
springfield_7,2016-06-26,1100,R,NOCA,2651-17077,"X,RW",43.5,98,102,AHY,M
dc_25,2016-06-28,0810,R,SOSP,2441-14198,"X,OG",20.8,68,70,ASY,M
dc_41,2016-07-01,0750,R,GRCA,2531-90271,"OX,WB",41.4,89,96,AHY,F
dc_68,2016-07-02,1023,R,SOSP,2441-13850,"XR,M",21.3,65,68,AHY,M
dc_40,2016-07-08,0951,R,SOSP,2711-77640,"PR,X",19.5,67,68,ASY,M
dc_47,2016-07-12,0953,R,SOSP,2711-77623,"BX,M",21.2,66,63,ASY,M
dc_55,2016-07-12,0803,R,SOSP,2441-13858,"XO,M",23.3,66,68,AHY,M
dc_28,2016-07-13,0855,R,GRCA,2651-56734,"P,XB",34.7,90,94,ASY,M
dc_28,2016-07-13,1035,R,NOCA,2651-56733,"RY,X",42.8,94,105,ASY,M
dc_46,2016-07-15,0820,R,SOSP,2661-31565,"O,XG",22.1,66,67,ASY,M
springfield_9,2016-07-16,0845,R,SOSP,2691-06126,"X,BB",20.4,65.5,68,ASY,M
springfield_13,2016-07-18,0900,R,NOCA,2651-43245,"B,XW",46.5,96,105,AHY,M
gainesville_18,2017-04-24,0655,R,NOCA,2641-96686,"M,WX",36.7,87,93,ASY,F
dc_37,2017-04-27,0840,R,NOCA,2641-63930,"R,XO",42.1,92.5,97,AHY,F
springfield_11,2017-05-23,1230,R,GRCA,2531-91127,"BX,Y",38.6,94,104,ASY,M
dc_55,2017-05-26,0805,R,SOSP,2441-13858,"XO,M",24.1,76.5,66,ASY,M
dc_24,2017-06-08,0731,R,SOSP,2661-31560,"X,KM",17.8,62,66,AHY,F
springfield_15,2017-06-17,0904,R,NOCA,2531-91189,"K,MX",41,93,101,ASY,M
dc_3,2017-06-20,0840,R,NOCA,2561-56855,"X,OK",47,91,97,ASY,F
springfield_19,2017-07-01,0820,R,GRCA,2651-17111,"XW,G",37,86,95,ASY,M
